year,control,iclevel,ctotalt
2000,1,1,19384
2000,1,2,219536
2000,1,3,80852
2000,2,1,21945
2000,2,2,15182
2000,2,3,12227
2000,3,1,6560
2000,3,2,72094
2000,3,3,176194
2010,1,1,57868
2010,1,2,401357
2010,1,3,36867
2010,2,1,39709
2010,2,2,10475
2010,2,3,17115
2010,3,1,29886
2010,3,2,206040
2010,3,3,220367
2019,1,1,191887
2019,1,2,529992
2019,1,3,34690
2019,2,1,42477
2019,2,2,9134
2019,2,3,6239
2019,3,1,36859
2019,3,2,90943
2019,3,3,153629
2024,1,1,319084
2024,1,2,540004
2024,1,3,46517
2024,2,1,67120
2024,2,2,10770
2024,2,3,6558
2024,3,1,55679
2024,3,2,96287
2024,3,3,179743
