year,cip2,ctotalt,share,rank
2015,51,347182,34.698284,1
2015,12,140961,14.088014,2
2015,52,87937,8.7886553,3
2015,47,85948,8.5898695,4
2015,24,44939,4.491322,5
2015,48,43595,4.3569989,6
2015,43,37047,3.7025747,7
2015,11,35130,3.5109847,8
2015,15,33691,3.3671672,9
2015,49,28812,2.8795471,10
2015,46,25177,2.5162556,11
2015,19,20152,2.014044,12
2015,50,17044,1.7034222,13
2015,13,10640,1.0633897,14
2015,10,5985,.59815663,15
2019,51,291318,28.485855,1
2019,12,120314,11.764626,2
2019,52,103538,10.124223,3
2019,24,88355,8.6395884,4
2019,47,85350,8.3457518,5
2019,48,51931,5.0779524,6
2019,11,44380,4.3395953,7
2019,15,39048,3.818218,8
2019,43,36952,3.6132655,9
2019,46,30093,2.9425743,10
2019,19,21564,2.1085856,11
2019,49,20918,2.045418,12
2019,50,18389,1.7981257,13
2019,13,13837,1.353019,14
2019,01,6831,.66795349,15
2024,51,295542,24.171734,1
2024,12,152805,12.497587,2
2024,24,136915,11.197979,3
2024,52,124405,10.174813,4
2024,47,96652,7.9049559,5
2024,11,65545,5.3607826,6
2024,48,62461,5.1085486,7
2024,46,47451,3.8809137,8
2024,15,41776,3.4167678,9
2024,43,38679,3.163471,10
2024,49,24959,2.041342,11
2024,19,23660,1.9350997,12
2024,13,20206,1.6526046,13
2024,50,18744,1.5330309,14
2024,01,12624,1.0324894,15
